globaleventid,sqldate,ingest_time,eventcode,eventbasecode,eventrootcode,quadclass,numentions,numsources,numarticles,avgtone,actiongeo_fullname,actiongeo_countrycode,actiongeo_adm1code,actiongeo_adm2code,actiongeo_lat,actiongeo_lon,actiongeo_featureid,dateadded,sourceurl
1281735146,20250101,20260101000000,190,190,19,4,2,1,2,-2.27032734952481,"Jervis Bay, Australian Capital Territory, Australia",AS,AS01,5129,-35.1333,150.7,-1580121,20260101000000,https://www.batemansbaypost.com.au/story/9143817/nsw-extends-blue-groper-fishing-ban-after-outcry/
1281735147,20250101,20260101000000,0841,084,08,2,12,2,12,-0.86207961268171,"Washington, District of Columbia, United States",US,USDC,DC001,38.8951,-77.0364,531871,20260101000000,https://www.brandonsun.com/world/2025/12/31/chief-justice-says-constitution-remains-firm-and-unshaken-with-major-supreme-court-rulings-ahead
1281735150,20250101,20260101000000,042,042,04,1,4,2,4,-1.28755364806867,"London, London, City of, United Kingdom",UK,UKH9,40110,51.5,-0.116667,-2601889,20260101000000,https://www.northwaleschronicle.co.uk/news/national/25731429.outrage-grotesque-fencing-around-london-park-stop-new-years-eve-revelry/
1281735153,20250101,20260101000000,190,190,19,4,4,1,4,-2.96096904441454,"Gaza, Israel (general), Israel",IS,IS00,18315,31.4167,34.3333,-797156,20260101000000,https://www.spokesman.com/stories/2025/dec/31/pentagon-to-pay-boeing-86b-to-make-fighters-for-is/
1281735154,20250101,20260101000000,070,070,07,2,5,1,5,-2.96208530805687,"Washington, District of Columbia, United States",US,USDC,DC001,38.8951,-77.0364,531871,20260101000000,https://www.bostonglobe.com/2026/01/01/opinion/supreme-court-report-threats/
1281735155,20250101,20260101000000,143,143,14,3,5,1,5,0.94607379375591,Ukraine,UP,UP,,49,32,UP,20260101000000,https://www.hellenicshippingnews.com/samsung-heavy-workers-threaten-delivery-delays-over-frozen-bonuses-despite-record-profits/
1281735157,20250101,20260101000000,0841,084,08,2,10,1,10,-5.4773082942097,"Clark County, Nevada, United States",US,USNV,,36.0003,-114.876,863600,20260101000000,https://radaronline.com/p/discovery-channel-chad-ollinger-killing-cellmate-supernatural-powers/
1281735158,20250101,20260101000000,017,017,01,1,10,1,10,-4.16666666666667,United Arab Emirates,AE,AE,,24,54,AE,20260101000000,https://www.wknofm.org/2025-12-31/new-orleans-on-alert-as-it-marks-one-year-since-the-new-years-day-attack
1281735160,20250101,20260101000000,0841,084,08,2,4,1,4,-0.50761421319797,Venezuela,VE,VE,,8,-66,VE,20260101000000,https://www.columbian.com/news/2025/dec/31/chief-justice-john-roberts-says-constitution-remains-firm-and-unshaken-with-major-supreme-court-rulings-ahead/
1281735161,20251202,20260101000000,040,040,04,1,6,1,6,-1.00376411543287,"New York, United States",US,USNY,,42.1497,-74.9384,NY,20260101000000,https://www.bostonglobe.com/2025/12/31/nation/zohran-mamdani-crowning-moment-with-challenges-looming/
